x;dSwish
-5.0;-5.166201416769754
-4.5;-4.720041151875061
-4.0;-4.282603299412657
-3.5;-3.8485495425267606
-3.0;-3.4065899375782087
-2.5;-2.9381482284069262
-2.0;-2.419974341614026
-1.5;-1.8355795171582492
-1.0;-1.196611933241482
-0.5;-0.5587509280503986
0.0;0.0
0.5;0.4412490719496014
1.0;0.8033880667585181
1.5;1.164420482841751
2.0;1.5800256583859738
2.5;2.061851771593074
3.0;2.593410062421791
3.5;3.151450457473239
4.0;3.7173967005873423
4.5;4.27995884812494
