x;Swish
-5.0;-0.03346425462142428
-4.5;-0.04944124183766931
-4.0;-0.07194483984836623
-3.5;-0.10259280762974712
-3.0;-0.14227761953270035
-2.5;-0.18964545005310887
-2.0;-0.2384058440442351
-1.5;-0.2736382857095345
-1.0;-0.2689414213699951
-0.5;-0.1887703343990727
0.0;0.0
0.5;0.3112296656009273
1.0;0.7310585786300049
1.5;1.2263617142904655
2.0;1.7615941559557646
2.5;2.3103545499468914
3.0;2.8577223804672998
3.5;3.3974071923702525
4.0;3.928055160151634
4.5;4.450558758162331
