                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77437,                0.43982,                0.88214,                 0.9706,                0.95665,                0.97767,                0.77253,                0.68009,                0.35384,                0.87708,               0.006535,               0.006535,               0.006535
                     37,                0.77569,                 0.4369,                0.88037,                0.97738,                0.95159,                0.97776,                0.76732,                0.68942,                0.35591,                0.88001,               0.006436,               0.006436,               0.006436
                     38,                0.77016,                0.43574,                0.87937,                 0.9782,                0.94796,                0.97905,                0.76817,                 0.6936,                0.35422,                 0.8814,               0.006337,               0.006337,               0.006337
                     39,                0.76154,                0.43154,                0.88003,                0.97842,                0.95488,                0.98145,                0.78008,                 0.6716,                0.34433,                0.87347,               0.006238,               0.006238,               0.006238
                     40,                0.75283,                0.42558,                 0.8769,                0.96951,                0.96511,                0.97944,                 0.7775,                0.67006,                0.34366,                0.87602,               0.006139,               0.006139,               0.006139
                     41,                0.74507,                0.42023,                0.87385,                 0.9747,                 0.9636,                 0.9823,                0.78286,                 0.6575,                0.33762,                0.87239,                0.00604,                0.00604,                0.00604
                     42,                0.74308,                0.41868,                0.87287,                0.97181,                0.96026,                 0.9807,                 0.7818,                0.65826,                0.34153,                0.87321,               0.005941,               0.005941,               0.005941
                     43,                 0.7357,                0.41392,                0.87245,                0.97465,                 0.9593,                0.98114,                0.78584,                0.65116,                0.33575,                0.87059,               0.005842,               0.005842,               0.005842
                     44,                0.73054,                0.41334,                 0.8723,                0.97313,                 0.9631,                   0.98,                 0.7842,                0.66152,                0.33962,                0.86979,               0.005743,               0.005743,               0.005743
                     45,                0.73294,                0.41472,                0.87175,                0.98319,                0.96324,                0.98291,                0.78823,                0.63467,                0.32853,                0.86515,               0.005644,               0.005644,               0.005644
                     46,                0.72342,                0.40622,                  0.869,                0.97612,                0.97103,                0.98294,                0.79001,                0.64409,                0.32865,                0.86532,               0.005545,               0.005545,               0.005545
                     47,                0.72535,                0.40796,                0.86869,                0.97169,                 0.9632,                0.98118,                0.79063,                0.63031,                0.32603,                0.86545,               0.005446,               0.005446,               0.005446
                     48,                0.71192,                0.40336,                0.86547,                0.98281,                0.95955,                0.98332,                0.79764,                0.62373,                0.32183,                0.86272,               0.005347,               0.005347,               0.005347
                     49,                0.71276,                0.39874,                0.86432,                0.98181,                0.96292,                0.98312,                0.79363,                0.61905,                0.31571,                0.86332,               0.005248,               0.005248,               0.005248
                     50,                0.69884,                0.39136,                0.86326,                0.97679,                0.97304,                 0.9838,                0.79319,                0.61834,                0.31421,                0.86166,               0.005149,               0.005149,               0.005149
