               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030356,           0.0085481,           0.0014648,             0.95287,             0.92009,             0.96037,             0.67254,            0.022004,           0.0076247,          0.00074354,            0.006535,            0.006535,            0.006535
                  37,            0.029939,           0.0084611,           0.0011474,             0.95325,             0.92948,             0.96062,             0.67426,             0.02175,           0.0074998,          0.00066411,            0.006436,            0.006436,            0.006436
                  38,            0.029399,            0.008273,           0.0011729,             0.94603,             0.93462,             0.96348,             0.67909,            0.021669,           0.0074416,          0.00062944,            0.006337,            0.006337,            0.006337
                  39,            0.029073,           0.0083449,           0.0012157,               0.944,             0.91684,             0.95938,             0.67968,            0.021466,            0.007452,          0.00062721,            0.006238,            0.006238,            0.006238
                  40,            0.029413,           0.0082823,           0.0012841,             0.95227,             0.92835,             0.96268,             0.67268,            0.021435,           0.0074401,          0.00060727,            0.006139,            0.006139,            0.006139
                  41,            0.029212,           0.0082021,           0.0012622,             0.94851,             0.92972,             0.96207,             0.68114,            0.021471,           0.0074066,          0.00073701,             0.00604,             0.00604,             0.00604
                  42,            0.029476,            0.008215,           0.0010955,             0.95847,             0.92787,             0.96373,             0.68794,            0.021089,           0.0072735,          0.00056044,            0.005941,            0.005941,            0.005941
                  43,            0.028951,           0.0083445,             0.00127,             0.94437,             0.92184,              0.9628,             0.68703,            0.020943,           0.0072803,          0.00056728,            0.005842,            0.005842,            0.005842
                  44,            0.028421,            0.008039,           0.0010511,             0.95665,             0.92904,             0.96502,             0.68812,            0.020688,           0.0071968,          0.00052313,            0.005743,            0.005743,            0.005743
                  45,            0.028343,           0.0079727,           0.0010859,             0.95731,             0.92703,             0.96454,             0.69327,            0.020445,           0.0071819,          0.00061181,            0.005644,            0.005644,            0.005644
                  46,            0.028391,           0.0079937,           0.0010682,             0.94816,             0.94144,             0.96579,             0.69604,            0.020365,           0.0071261,           0.0005662,            0.005545,            0.005545,            0.005545
                  47,             0.02788,           0.0079442,           0.0010323,             0.95157,             0.93616,             0.96674,             0.69449,            0.020202,           0.0071149,          0.00056236,            0.005446,            0.005446,            0.005446
                  48,            0.027739,           0.0079144,          0.00095484,             0.95455,             0.93017,              0.9638,             0.70114,            0.019914,           0.0070512,          0.00054897,            0.005347,            0.005347,            0.005347
                  49,            0.028078,           0.0080723,           0.0011603,             0.95987,             0.92992,             0.96353,             0.70053,            0.019966,           0.0070164,          0.00056062,            0.005248,            0.005248,            0.005248
                  50,            0.027592,           0.0078852,           0.0011017,             0.94064,             0.94174,              0.9648,             0.70308,            0.019755,           0.0070121,          0.00051978,            0.005149,            0.005149,            0.005149
                  51,            0.027295,           0.0078143,          0.00090083,             0.95809,             0.93513,             0.96461,             0.70323,            0.019679,           0.0069406,          0.00050986,             0.00505,             0.00505,             0.00505
                  52,            0.026969,            0.007772,          0.00093044,             0.95975,             0.93308,             0.96539,             0.70504,            0.019516,           0.0068682,          0.00051543,            0.004951,            0.004951,            0.004951
                  53,            0.026998,           0.0077022,          0.00094808,             0.95411,              0.9426,             0.96855,             0.71032,            0.019583,            0.006852,           0.0005512,            0.004852,            0.004852,            0.004852
                  54,            0.026761,           0.0076212,          0.00084835,             0.95055,             0.94561,             0.96887,             0.70792,            0.019414,           0.0068184,          0.00053186,            0.004753,            0.004753,            0.004753
                  55,             0.02671,           0.0075738,          0.00095818,             0.95273,             0.94074,             0.96925,             0.71207,            0.019309,           0.0067659,          0.00049692,            0.004654,            0.004654,            0.004654
                  56,            0.026171,           0.0075462,          0.00089715,              0.9615,             0.93807,             0.96967,             0.71781,            0.019212,           0.0067291,          0.00050361,            0.004555,            0.004555,            0.004555
                  57,            0.026337,           0.0076252,          0.00086317,             0.96507,             0.94475,             0.97049,              0.7166,            0.018973,           0.0067123,          0.00048927,            0.004456,            0.004456,            0.004456
                  58,            0.026424,           0.0076986,          0.00090794,             0.96299,              0.9452,             0.97075,             0.71753,            0.018841,           0.0066959,          0.00048588,            0.004357,            0.004357,            0.004357
                  59,            0.025658,           0.0074985,          0.00085231,             0.96525,             0.94399,             0.97088,             0.71705,            0.018864,           0.0066798,          0.00046897,            0.004258,            0.004258,            0.004258
                  60,            0.025567,           0.0074107,          0.00086909,             0.96407,             0.94176,             0.97051,             0.71633,            0.018787,           0.0066538,          0.00047347,            0.004159,            0.004159,            0.004159
                  61,            0.025701,            0.007429,          0.00078505,             0.96243,             0.93825,             0.97079,             0.71797,            0.018695,            0.006618,          0.00044915,             0.00406,             0.00406,             0.00406
                  62,            0.025279,           0.0074052,          0.00083419,             0.96607,             0.93683,             0.97102,             0.72456,            0.018527,           0.0066006,          0.00043785,            0.003961,            0.003961,            0.003961
                  63,            0.025628,           0.0074146,          0.00079075,             0.96538,              0.9373,             0.97156,             0.72472,            0.018549,           0.0065846,          0.00042304,            0.003862,            0.003862,            0.003862
                  64,            0.025483,           0.0073984,           0.0008072,             0.96204,              0.9453,             0.97181,             0.72329,            0.018439,           0.0065605,          0.00042848,            0.003763,            0.003763,            0.003763
                  65,            0.025068,           0.0073787,          0.00075538,             0.96209,             0.94801,             0.97175,             0.72668,            0.018279,           0.0065252,          0.00042783,            0.003664,            0.003664,            0.003664
                  66,            0.024552,           0.0071379,          0.00081696,             0.96872,             0.94506,             0.97197,             0.72557,            0.018139,           0.0064986,          0.00042425,            0.003565,            0.003565,            0.003565
